Unidad M2 Interiores M2 Terrazas M2 Privativos Estacionamiento Precio de Lista Estatus Tipo Balcón Posterior Balcón Frontal Terraza Recámaras Baños*
3101 88.26 36.56 124.82 2 Cajones VENDIDO A x x 2 1P, 1N
3102 63.48 28.02 91.5 2 Cajones $ 2,191,417 DISPONIBLE B x 1 1P
3103 77.68 46.84 124.52 2 Cajones $ - VENDIDO C x 2 1P, 1N
3104 78.35 46.84 125.19 2 Cajones $ - VENDIDO C x 2 1P, 1N
3105 63.48 28.02 91.5 2 Cajones $ 2,191,417 DISPONIBLE B x 1 1P
3106 97.61 32.28 129.89 2 Cajones $ - VENDIDO D x 2 1P, 1N
3201 85.31 6.39 91.7 2 Cajones $ 2,283,322 DISPONIBLE A x x 2 2N
3202 61.31 2.17 63.48 2 cajones $ 1,733,847 DISPONIBLE B x 1 1P
3203 78.35 3.16 81.51 2 Cajones $ 2,097,038 DISPONIBLE C x 2 1P, 1N
3204 78.35 3.83 82.18 2 Cajones $ 2,097,038 DISPONIBLE C x 2 1P, 1N
3205 61.31 2.17 63.48 1 Cajon $ 1,733,847 DISPONIBLE B x 1 1P
3206 93.85 3.76 97.61 2 Cajones $ 2,511,895 DISPONIBLE D x 2 1P, 1N
3301 85.31 6.39 91.7 2 Cajones $ 2,283,322 DISPONIBLE A x x 2 2N
3302 61.31 2.17 63.48 1 Cajon $ 1,733,847 DISPONIBLE B x 1 1P
3303 78.35 3.83 82.18 2 Cajones $ 2,097,038 DISPONIBLE C x 2 1P, 1N
3304 78.35 3.83 82.18 2 Cajones $ 2,097,038 DISPONIBLE C x 2 1P, 1N
3305 61.31 2.17 63.48 1 Cajon $ 1,733,847 DISPONIBLE B x 1 1P
3306 93.85 3.76 97.61 2 Cajones $ 2,511,895 DISPONIBLE D x 2 1P, 1N
3401 85.31 6.39 91.7 2 Cajones $ 2,283,322 DISPONIBLE A x x 2 2N
3402 61.31 2.17 63.48 1 Cajon $ 1,733,847 DISPONIBLE B x 1 1P
3403 78.35 3.16 81.51 2 Cajones $ 2,097,038 DISPONIBLE C x 2 1P, 1N
3404 78.35 3.83 82.18 2 Cajones $ 2,097,038 DISPONIBLE C x 2 1P, 1N
3405 61.31 2.17 63.48 1 Cajon $ 1,733,847 DISPONIBLE B x 1 1P
3406 93.85 3.76 97.61 2 Cajones $ 2,511,895 VENDIDO D x 2 1P, 1N
3501 85.31 6.39 91.7 2 Cajones $ 2,283,322 DISPONIBLE A x x 2 2N
3502 61.31 2.17 63.48 2 Cajones $ 1,733,847 DISPONIBLE B x 1 1P
3503 78.35 3.16 81.51 2 Cajones $ 2,097,038 RESERVADO C x 2 1P, 1N
3504 78.35 3.83 82.18 2 Cajones $ - VENDIDO C x 2 1P, 1N
3505 61.31 2.17 63.48 2 Cajones $ - VENDIDO B x 1 1P
3506 93.85 3.76 97.61 2 Cajones $ - VENDIDO D x 2 1P, 1N
3601 85.31 6.39 91.7 2 Cajones $ - VENDIDO A x x 2 2N
3602 61.31 2.17 63.48 2 Cajones $ 1,733,847 VENDIDO B x 1 1P
3603 78.35 3.16 81.51 2 Cajones $ 2,097,038 VENDIDO C x 2 1P, 1N
3604 78.35 3.83 82.18 2 Cajones $ - VENDIDO C x 2 1P, 1N
3605 61.31 2.17 63.48 2 Cajones $ 1,733,847 DISPONIBLE B x 1 1P
3606 93.85 3.76 97.61 2 Cajones $ - VENDIDO D x 2 1P, 1N
3701 (3704) 78.35 7.19 85.54 2 Cajones $ - VENDIDO C x 2 1P, 1N
3702 (3705) 61.31 2.17 63.48 2 Cajones $ 1,733,847 VENDIDO B x 1 1P
3703 (3706) 93.85 3.76 97.61 2 Cajones $ - VENDIDO D x 2 1P, 1N
